"filename", "language", "XMake", "C++", "Python", "Markdown", "JSON", "GLSL", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbnet.cc", "C++", 0, 155, 0, 0, 0, 0, 1, 33, 189
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbnet.hh", "C++", 0, 45, 0, 0, 0, 0, 0, 10, 55
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbsnet.cc", "C++", 0, 169, 0, 0, 0, 0, 0, 34, 203
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbsnet.hh", "C++", 0, 45, 0, 0, 0, 0, 0, 10, 55
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.cc", "C++", 0, 195, 0, 0, 0, 0, 0, 34, 229
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.hh", "C++", 0, 44, 0, 0, 0, 0, 0, 10, 54
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.cc", "C++", 0, 293, 0, 0, 0, 0, 12, 52, 357
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.hh", "C++", 0, 84, 0, 0, 0, 0, 6, 27, 117
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdie\topdie.cc", "C++", 0, 16, 0, 0, 0, 0, 0, 8, 24
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdie\topdie.hh", "C++", 0, 21, 0, 0, 0, 0, 0, 7, 28
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdieinst\topdieinst.cc", "C++", 0, 60, 0, 0, 0, 0, 1, 17, 78
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdieinst\topdieinst.hh", "C++", 0, 42, 0, 0, 0, 0, 2, 18, 62
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\console.cc", "C++", 0, 54, 0, 0, 0, 0, 0, 12, 66
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\console.hh", "C++", 0, 59, 0, 0, 0, 0, 0, 14, 73
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\debug.cc", "C++", 0, 88, 0, 0, 0, 0, 0, 19, 107
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\debug.hh", "C++", 0, 85, 0, 0, 0, 0, 0, 17, 102
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\exception.hh", "C++", 0, 8, 0, 0, 0, 0, 0, 4, 12
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\log.cc", "C++", 0, 55, 0, 0, 0, 0, 0, 16, 71
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\log.hh", "C++", 0, 47, 0, 0, 0, 0, 0, 13, 60
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\algorithm.hh", "C++", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\collection.hh", "C++", 0, 43, 0, 0, 0, 0, 0, 17, 60
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\exception.hh", "C++", 0, 8, 0, 0, 0, 0, 0, 7, 15
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\file.hh", "C++", 0, 9, 0, 0, 0, 0, 0, 7, 16
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\format.hh", "C++", 0, 165, 0, 0, 0, 0, 0, 16, 181
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\integer.hh", "C++", 0, 13, 0, 0, 0, 0, 0, 6, 19
